,code,open,high,low,close
2062,300408,52.65,52.98,50.81,
2063,600382,24.0,24.56,23.61,
2064,300219,42.59,42.79,41.05,
2065,600468,32.53,32.83,31.38,
2066,600158,38.81,39.25,37.69,
2067,000732,36.9,37.03,35.9,
2068,600513,41.2,41.82,39.76,
2069,600796,20.26,20.32,19.45,
2070,603969,33.0,33.77,32.39,
2071,603088,70.3,71.75,68.97,
2072,600438,22.0,22.0,21.25,
2073,000811,25.84,25.84,23.48,
2074,603328,41.23,41.61,40.22,
2075,300156,44.6,44.7,42.93,
2076,002481,47.35,47.35,45.5,
2077,000736,21.62,21.85,20.87,
2078,300412,61.01,63.25,59.5,
2079,002590,25.5,26.03,25.2,
2080,002556,33.5,33.86,32.2,
2081,000078,34.95,35.83,33.59,
2082,002491,29.2,29.33,28.32,
2083,002302,27.5,27.98,26.5,
2084,300111,11.68,11.86,11.3,
2085,600528,23.38,23.38,22.63,
2086,000050,35.42,35.8,34.37,
2087,600565,16.8,17.04,16.01,
2088,000413,14.63,14.8,14.1,
2089,600888,18.88,18.88,18.11,
2090,603168,81.67,81.85,78.88,
2091,002179,47.6,47.88,46.2,
2092,601058,15.36,15.79,14.92,
2093,002252,67.2,68.18,65.8,
2094,000828,21.67,21.78,21.0,
2095,300248,59.2,60.09,57.0,
2096,600801,14.88,14.96,14.44,
2097,600576,71.0,71.78,64.17,
2098,000594,2.1,2.14,2.06,
2099,000681,60.81,61.68,58.6,
2100,300059,83.95,84.98,80.5,
2101,300391,35.04,35.2,32.1,
2102,000710,32.95,33.0,31.4,
2103,600811,16.9,17.1,16.61,
2104,603338,158.83,160.0,152.1,
2105,002337,20.45,20.59,19.68,
2106,600372,48.7,48.7,46.58,
2107,002001,28.42,29.0,27.6,
2108,002472,44.01,48.0,41.13,
2109,002585,23.25,23.25,21.4,
2110,600343,40.01,40.8,39.01,
2111,002301,35.4,36.0,33.8,
2112,002376,29.53,29.56,28.52,
2113,600503,24.99,25.25,23.93,
2114,600789,25.58,25.75,23.52,
2115,600271,94.0,95.95,90.02,
2116,002055,65.38,66.58,63.21,
2117,002419,22.77,22.85,22.1,
2118,002749,122.98,123.18,116.0,
2119,300433,123.0,124.71,118.5,
2120,600552,38.01,38.49,36.55,
2121,002427,32.09,32.88,30.9,
2122,300179,16.1,16.28,15.5,
2123,002149,37.4,37.47,33.78,
2124,600733,76.44,77.6,74.0,
2125,603188,41.94,42.1,40.5,
2126,300423,57.32,58.99,55.7,
2127,002341,32.95,33.67,32.13,
2128,000592,47.1,48.88,42.78,
2129,300122,43.9,44.78,42.75,
2130,002725,36.75,37.05,35.47,
2131,002742,49.35,49.77,48.0,
2132,600773,25.2,25.2,23.87,
2133,002535,20.24,20.34,19.68,
2134,002747,98.9,100.94,95.66,
2135,000633,23.83,24.18,22.97,
2136,002713,50.21,50.98,48.66,
2137,600785,29.47,29.8,28.12,
2138,000610,25.24,26.18,23.5,
2139,002075,29.6,29.99,28.2,
2140,603698,58.0,58.5,55.88,
2141,000810,33.28,33.5,32.0,
2142,300427,95.6,95.6,84.31,
2143,600008,19.3,19.68,18.9,
2144,600458,35.4,35.4,33.5,
2145,600749,28.0,28.45,27.3,
2146,600604,26.95,27.56,25.53,
2147,603883,88.0,89.49,83.01,
2148,601113,16.19,16.19,15.5,
2149,000096,31.5,33.4,30.05,
2150,300347,51.85,52.3,48.81,
2151,002251,37.27,37.77,36.29,
2152,000762,27.07,27.4,26.51,
2153,600673,12.72,12.73,12.24,
2154,603100,34.36,34.66,33.4,
2155,600266,26.41,26.49,25.5,
2156,300416,96.33,98.22,91.0,
2157,002358,71.5,72.3,68.4,
2158,002372,26.64,27.01,25.81,
2159,002366,97.53,98.5,92.0,
2160,600287,21.53,21.67,20.85,
2161,600729,46.72,46.98,45.45,
2162,600491,17.38,17.6,16.65,
2163,002197,82.0,82.0,77.32,
2164,603899,52.61,52.61,50.8,
2165,300388,50.94,51.55,49.75,
2166,300328,49.0,49.78,47.0,
2167,600229,32.18,32.18,30.86,
2168,002287,51.0,51.0,48.6,
2169,600270,38.0,38.66,36.55,
2170,300322,24.2,24.89,23.58,
2171,002737,69.89,70.5,67.6,
2172,300270,30.94,31.48,29.61,
2173,002207,33.17,33.42,32.01,
2174,002034,65.55,66.0,62.88,
2175,603519,64.35,65.55,62.0,
2176,002516,25.17,25.17,22.16,
2177,600338,41.8,43.2,40.11,
2178,300415,61.0,61.51,58.5,
2179,300302,52.0,52.54,50.3,
2180,300284,32.7,32.99,31.82,
